34791790000000.0 4.01515+1e-10i
66583580000000.0 5.307812+0.9512998i
86453450000000.0 0.9458676+5.80474i
94401400000000.0 0.467023+1.194575i
102349300000000.0 1.70779+0.5398349i
110297300000000.0 2.183269+0.5171342i
118245200000000.0 2.409291+0.4382842i
126193200000000.0 2.659125+0.3780871i
134141100000000.0 2.898523+0.3848013i
142089100000000.0 3.241704+0.424496i
150037000000000.0 3.419309+1.11448i
157985000000000.0 2.752748+0.9929081i
165932900000000.0 3.111718+0.2504654i
173880900000000.0 4.131366+0.1750582i
181828800000000.0 5.845039+0.7846999i
189776800000000.0 7.266967+4.909155i
197724700000000.0 1.98343+8.436111i
205672700000000.0 -3.100309+4.398565i
213620600000000.0 -1.007551+1.393448i
221568600000000.0 -0.3400758+1.011546i
229516500000000.0 -0.04458705+0.6142782i
237464500000000.0 0.3074573+0.2108228i
257334300000000.0 1.072735+9.922956e-11i
289126100000000.0 1.493286+1e-10i
320917900000000.0 1.680519+1e-10i
352709700000000.0 1.785586+1e-10i
384501500000000.0 1.852982+1e-10i
